seller_id,product_id,price,ado,discount,category_id,cluster,rating,seller_type
959562,95622417,879.55,0.2,0.66,10,Electronics,2,Offshore
607704,73274813,966.63,0.23,0.31,4,Fashion,2,Offshore
478483,67881706,807.02,0.06,0.45,10,Electronics,3,Offshore
930863,68498353,333.79,0.05,0.22,3,FMCG,1,Local
988447,58986357,446.27,0.58,0.49,6,Fashion,3,Local
551146,72398710,781.98,0.29,0.61,9,Lifestyle,3,Offshore
885144,59974949,537.38,0.99,0.94,2,Lifestyle,4,Local
763122,40025237,495.7,0.41,0.39,2,FMCG,2,Offshore
707224,64684385,317.7,0.56,0.94,1,FMCG,5,Offshore
511645,55365805,25.03,0.87,0.08,5,FMCG,4,Local
508181,72081588,517.74,0.05,0.03,4,Electronics,4,Local
590339,12342253,238.5,0.22,0.72,5,Fashion,1,Offshore
122983,30669203,913.49,0.38,0.23,6,FMCG,5,Local
455549,99370553,53.31,0.67,0.81,3,Electronics,5,Offshore
562618,62142123,388.12,0.05,0.77,8,Lifestyle,2,Local
444028,60554933,354.7,0.29,0.98,4,FMCG,1,Offshore
262933,58579571,789.41,0.6,0.27,4,Electronics,2,Offshore
735548,30918574,342.17,0.66,0.3,4,Fashion,3,Offshore
475002,87510707,371.9,0.25,0.44,4,Fashion,2,Offshore
126662,62420315,439.74,0.24,0.78,9,FMCG,2,Offshore
832740,62468390,477.15,0.41,0.36,6,Lifestyle,2,Local
766563,72995413,352.19,0.08,0.81,10,Lifestyle,4,Offshore
523694,99456058,469.09,0.12,0.29,4,Fashion,2,Local
545467,92633225,308.98,0.55,0.97,7,Fashion,5,Offshore
610443,36091885,39.71,0.79,0.08,3,Electronics,4,Offshore
393577,31795333,50.44,0.64,0.57,9,Fashion,1,Offshore
904892,15994661,767.62,0.54,0.06,2,Lifestyle,3,Local
950285,56678803,254.58,0.25,0.71,6,Fashion,1,Local
477522,41017083,535.22,0.39,0.6,1,FMCG,3,Offshore
573647,23806771,573.22,0.79,0.49,4,FMCG,1,Offshore
